X1,log(X1),X2,log(X2),Y,X3,X4,log(X4),X5,log(X5),X6,X8,X9,X10,X11,X12,X13,X14,X16,X17,X18,log(X18),X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31
29,3.36729583,16,2.772588722,195.8,372,36566,10.50687413,5651,8.6395878,20.9,42.3,39.8,43.8,2.51,52.6,24,45.2,4.8,42.8,9.4,2.240709689,50.4,9.1,48.2,58.05199283,25.8,41.5,22.3,71.92016518,0.481761872,0.172057811,1.531314522,49.43181818,4.588744589
886,6.786716951,291,5.673323267,165.3,452.9,42985,10.6686065,273955,12.52071914,22.9,32.4,30.4,34.1,2.97,35.8,22.3,37.2,5.5,32,12.2,2.501435952,57.2,14.1,49.4,41,35.8,32.4,23.7,21.9145019,66.81335459,5.185717386,3.785820667,35.92963409,5.066533644
275,5.616771098,104,4.644390899,174.7,487.3,47360,10.76553327,41877,10.64249203,16.3,43,42.5,43.7,2.47,52.2,12,37.8,5.5,44.6,12,2.48490665,52.6,7.4,69.5,51.6,46.4,36.5,16.9,97.1147479,0.718948065,0.532116167,0.073313783,52.9829631,6.635885322
39,3.663561646,18,2.890371758,163.1,387.6,53828,10.89354906,7290,8.894258825,12.1,45.2,44.1,46.2,2.45,59.5,19.6,40.5,6.9,43,12.2,2.501435952,60.8,4.6,70.5,75.8021532,45.1,34.7,15.7,98.11448725,0.352685838,0.244167119,0.203472599,58.93703453,6.083916084
230,5.438079309,87,4.465908119,201.7,492,61195,11.02182077,57106,10.95266447,11,36.1,34.9,37.2,2.95,55.1,16.3,42,1.7,38.2,11.5,2.442347035,61.1,6,70.2,59,52.3,23.5,13,82.76404906,13.54933187,0.970162914,0.571114772,60.07486979,5.321944809
203,5.313205979,75,4.317488114,159.1,443.6,51550,10.85030749,48863,10.79677574,12.5,32.5,31.9,33.4,2.49,50.8,5.3,17.5,10.1,25.6,23.1,3.139832618,72.3,3.5,81.3,44.72442048,56.9,22.7,9.7,93.25868468,1.173943868,1.282372076,2.33329163,51.21512642,4.894004637
33,3.496507561,11,2.397895273,138.7,380.5,82597,11.32172864,11065,9.311542252,4.6,32.3,31.6,32.8,3.4,69.2,7.1,33.3,7.7,24.4,24.8,3.210843653,46.38652074,6,80.6,37.05512189,60.6,18.8,8.5,96.86648501,0.360062281,0.768781627,1.050992604,78.07539683,6.102877071
44,3.784189634,17,2.833213344,192.1,524.5,33943,10.43243793,5678,8.644354337,23,43.5,41.3,45.7,2.5,46,18.8,48.6,0.6,35.5,8.4,2.128231706,41.8,16.2,54.6,44.82432734,33.5,51.6,29.5,65.20183955,32.0047692,0.221427355,0.323624595,42.41645244,6.129303107
57,4.043051268,29,3.36729583,196.9,426.1,38178,10.55001471,9139,9.120306249,17.1,46.8,45,48.8,2.13,49.9,28,50.6,3.2,38.7,10.4,2.341805806,48.4,3.9,62.7,42.5,37,40.8,18.4,93.33405711,1.031375529,0.521116057,0.45597655,46.32562971,5.317324185
529,6.270988432,217,5.379897354,203.1,520.2,42036,10.64628167,79282,11.2807664,19,40,38.4,41.7,2.47,45.9,18.9,39.6,3.3,40.6,9.6,2.261763098,51.4,10.7,63.4,45.3,41.3,42.6,24.1,82.78916982,13.83759705,0.817489548,0.790115469,44.07408582,5.395305384
181,5.198497031,64,4.158883083,176.1,537.9,42552,10.65848214,24416,10.10299393,16.5,42.3,41.4,42.9,2.21,43.6,6.9,34.2,11.1,30.9,18.8,2.93385687,56,5.6,68.4,49.3,41.5,35.1,16.1,82.77600959,12.21014343,1.08295788,0.632414335,40.5218061,3.909798832
1962.667684,7.58205989,118,4.770684624,175.6,453.5494221,48460,10.78849399,55691,10.92757383,13,37.7,36.8,39.1,2.42,48.9,14.5,29.4,6.2,33.5,15.2,2.721295428,65,5,70.9,55.63803933,47.3,29.1,14.5,87.6415179,3.209832242,2.481385126,3.193684399,46.41804377,6.843609637
105,4.65396035,57,4.043051268,229.7,438.4,34631,10.45250451,18208,9.809616337,23.3,40.5,38.7,42.1,2.49,47.4,16.3,57.3,1.4,41.3,6.8,1.916922612,50.1,8.8,48.3,37.9,32.9,43.3,26.2,81.46216936,16.1588181,0.092336103,0.260713704,44.48737409,5.174548155
